origem;problema_evidencia;gravidade;fonte_evidencia;correcao_decisao;limitacao_remanescente
cobertura_fonte;A série do INSS/PDA inicia na competência jul/2018: acidentes de jan–jun/2018 só aparecem se registrados depois;alto;estatisticas_por_arquivo.csv;2018 tratado como ano de cobertura parcial (asterisco em tabelas/figuras);comparações anuais com ressalva
cobertura_fonte;"Arquivos de 2022 com cobertura irregular (202201/202204 com emissões até jun; 202207–202211 sobrepostos e decrescentes)";alto;"estatisticas_por_arquivo.csv; duplicidades_linha_bruta.csv";"deduplicação por hash entre arquivos sobrepostos; 2022 marcado como parcial";537 duplicidades removidas no recorte Campos+RJ
cobertura_fonte;Competências set–dez/2024 com volume nacional atípico (3–10 mil linhas/mês vs 40–60 mil) e nov–dez/2025 quase vazias (205 e 126 linhas);alto;estatisticas_por_arquivo.csv;"2024 e 2025 marcados como parciais; sensibilidade jan–out";queda 2024–2025 NÃO interpretável como redução real
estrutura;"4 esquemas de colunas (24A, 24B, 25, 27); cabeçalhos duplicados (CBO, CID-10, CNAE, Data Acidente); 3 arquivos de 2020 em UTF-8-BOM e demais em Latin-1";moderado;logs/esquemas_por_arquivo.json;importação por posição com mapa por esquema e detecção de codificação por arquivo;nenhuma coluna sobrescrita
estrutura;Esquema S24B (competências jun–out/2023) NÃO traz data de emissão nem despacho;moderado;logs/esquemas_por_arquivo.json;tempo acidente→emissão calculado apenas onde disponível (n informado);2023 com 112/178 válidos
municipio;12 registros com código 330100 e UF do empregador ≠ RJ (SP, RS, GO, PR);baixo;controle_330100_uf_divergente.csv;excluídos pelo critério conjunto código+UF;base final sem inconsistências de UF
cbo;184 registros (3,6%) sem CBO válido, concentrados em 2021–2023 ('{ñ class}'), 35 deles em CNAE saúde;moderado;T01_cat_por_ano_universo.csv;mantidos em categoria própria 'CBO não classificado';possível subestimação de profissões da saúde em 2021–2023
cbo;"Descrições truncadas a 20 caracteres em parte dos arquivos; códigos 2231xx (família médica anterior) ausentes da tabela CBO vigente";baixo;dicionario_cbo_observado.csv;"classificação por código+família com validação manual; títulos oficiais anexados";classificação íntegra
datas;Coluna 2 'Data Acidente' é mês de referência (AAAA/MM, AAAAMM ou DD/MM/AAAA com dia=01), distinta da data completa (col. 21–23);alto;amostras por esquema (logs);análises temporais usam exclusivamente a data completa do acidente;sem confusão competência x data
idade;"7 registros sem data de nascimento válida; nenhuma idade fora de [14,100] na base Campos";baixo;fluxo_03_processamento.json;"idade ausente registrada; sem exclusão de registros";—
smartlab;"Nenhum arquivo SmartLab presente na pasta; etapa excluída por decisão metodológica";informativo;manifesto_arquivos.csv;—;—
legado;"Resultados da análise anterior (medicina x enfermagem) não localizados na pasta (RESULTADOS/ ausente); não reproduzíveis e não reutilizados";informativo;inspeção de diretórios;análise integralmente refeita desde os brutos;—
